usuario_id;nombres;apellidos;email;movimientos;cluster;producto_recomendado_id;producto_recomendado;marca;familia;concentracion;genero_objetivo;precio;stock;puntaje_compatibilidad;probabilidad_compra;incertidumbre_probabilidad;visitas_producto_recomendado;reservas_producto_recomendado;compras_producto_recomendado;favoritos_producto_recomendado;coincidencias_busqueda_producto;producto_mas_reservado_id;producto_mas_reservado;reservas_producto_mas_reservado;motivo
27;Sofia;Sanchez;cliente26@marlyperfume.pe;13;1;12;212 VIP Black;Carolina Herrera;Aromatica;EDP;HOMBRE;309.9;4;8.7464;0.6641;0.6718;0;2;0;1;10.5;12;212 VIP Black;2;familia Aromatica, marca Carolina Herrera, genero HOMBRE
28;Fernanda;Lopez;cliente27@marlyperfume.pe;13;1;1;Sauvage;Dior;Aromatica;EDP;HOMBRE;459.9;12;5.6979;0.0002;0.0004;3;0;0;0;4.5;14;Libre;2;genero HOMBRE, concentracion EDP, 3 visitas previas
29;Ariana;Castro;cliente28@marlyperfume.pe;13;1;4;Coco Mademoiselle;Chanel;Floral;EDP;MUJER;489.9;7;8.0105;0.0014;0.0028;3;0;0;0;15;16;Scandal;2;familia Floral, genero MUJER, concentracion EDP
7;Sofia;Sanchez;cliente06@marlyperfume.pe;12;1;18;Club de Nuit Intense;Lattafa;Amaderada;EDP;HOMBRE;229.9;4;6.5519;0.0004;0.0008;3;0;0;0;9;12;212 VIP Black;2;genero HOMBRE, concentracion EDP, 3 visitas previas
8;Fernanda;Lopez;cliente07@marlyperfume.pe;12;1;14;Libre;Yves Saint Laurent;Floral;EDP;MUJER;439.9;7;7.7131;0.5325;0.935;0;2;0;1;4.5;14;Libre;2;familia Floral, marca Yves Saint Laurent, genero MUJER
9;Ariana;Castro;cliente08@marlyperfume.pe;12;1;4;Coco Mademoiselle;Chanel;Floral;EDP;MUJER;489.9;7;6.7451;0.0009;0.0018;3;0;0;0;10.5;16;Scandal;2;genero MUJER, concentracion EDP, 3 visitas previas
10;Mia;Vargas;cliente09@marlyperfume.pe;12;1;17;Explorer;Montblanc;Amaderada;EDP;HOMBRE;279.9;9;6.4967;0.0002;0.0004;3;0;0;0;4.5;18;Club de Nuit Intense;2;familia Amaderada, genero HOMBRE, concentracion EDP
11;Paola;Mendoza;cliente10@marlyperfume.pe;12;1;18;Club de Nuit Intense;Lattafa;Amaderada;EDP;HOMBRE;229.9;4;5.6273;0.0001;0.0002;0;0;0;0;4.5;20;Asad;2;familia Amaderada, marca Lattafa, genero HOMBRE
12;Lucia;Garcia;cliente11@marlyperfume.pe;12;1;2;Miss Dior;Dior;Floral;EDP;MUJER;469.9;8;6.4549;0.7005;0.599;0;2;0;1;3;2;Miss Dior;2;familia Floral, marca Dior, concentracion EDP
13;Camila;Flores;cliente12@marlyperfume.pe;12;1;3;Bleu de Chanel;Chanel;Amaderada;EDP;HOMBRE;499.9;10;5.6563;0.0001;0.0002;0;0;0;0;9;4;Coco Mademoiselle;2;marca Chanel, genero HOMBRE, concentracion EDP
14;Valeria;Ramos;cliente13@marlyperfume.pe;12;1;6;Dylan Blue;Versace;Amaderada;EDT;HOMBRE;319.9;9;7.5132;0.3194;0.6388;0;2;0;1;7.5;6;Dylan Blue;2;marca Versace, genero HOMBRE, concentracion EDT
15;Andrea;Quispe;cliente14@marlyperfume.pe;12;1;12;212 VIP Black;Carolina Herrera;Aromatica;EDP;HOMBRE;309.9;4;7.5482;0.0009;0.0018;3;0;0;0;10.5;8;Si;2;familia Aromatica, genero HOMBRE, concentracion EDP
16;Daniela;Torres;cliente15@marlyperfume.pe;12;1;5;Eros;Versace;Aromatica;EDT;HOMBRE;329.9;14;7.3395;0.0001;0.0002;3;0;0;0;9;10;Invictus;2;familia Aromatica, genero HOMBRE, concentracion EDT
17;Sofia;Sanchez;cliente16@marlyperfume.pe;12;1;8;Si;Giorgio Armani;Frutal;EDP;MUJER;389.9;6;5.7531;0.0018;0.0036;3;0;0;0;9;12;212 VIP Black;2;concentracion EDP, 3 visitas previas, coincide con sus busquedas
18;Fernanda;Lopez;cliente17@marlyperfume.pe;12;1;20;Asad;Lattafa;Amaderada;EDP;HOMBRE;199.9;3;5.4437;0.0001;0.0002;0;0;0;0;7.5;14;Libre;2;marca Lattafa, genero HOMBRE, concentracion EDP
19;Ariana;Castro;cliente18@marlyperfume.pe;12;1;4;Coco Mademoiselle;Chanel;Floral;EDP;MUJER;489.9;7;6.7451;0.0009;0.0018;3;0;0;0;10.5;16;Scandal;2;genero MUJER, concentracion EDP, 3 visitas previas
20;Mia;Vargas;cliente19@marlyperfume.pe;12;1;18;Club de Nuit Intense;Lattafa;Amaderada;EDP;HOMBRE;229.9;4;5.3051;0.1651;0.3302;0;2;0;1;0;18;Club de Nuit Intense;2;familia Amaderada, marca Lattafa, genero HOMBRE
21;Paola;Mendoza;cliente20@marlyperfume.pe;12;1;18;Club de Nuit Intense;Lattafa;Amaderada;EDP;HOMBRE;229.9;4;5.6273;0.0001;0.0002;0;0;0;0;4.5;20;Asad;2;familia Amaderada, marca Lattafa, genero HOMBRE
30;Mia;Vargas;cliente29@marlyperfume.pe;12;1;7;Acqua di Gio;Giorgio Armani;Citrica;EDT;HOMBRE;349.9;11;5.6957;0.0001;0.0002;3;0;0;0;4.5;18;Club de Nuit Intense;2;genero HOMBRE, concentracion EDT, 3 visitas previas
31;Paola;Mendoza;cliente30@marlyperfume.pe;12;1;18;Club de Nuit Intense;Lattafa;Amaderada;EDP;HOMBRE;229.9;4;6.4698;0.0002;0.0004;0;0;0;0;9;20;Asad;2;familia Amaderada, marca Lattafa, genero HOMBRE
1;Marly;Administrador;admin@marlyperfume.pe;0;0;24;Gold Intense;Paco Rabanne;Oriental;EDP;HOMBRE;349.9;8;0.1909;0;0;0;0;0;0;0;;;0;afinidad alta en su cluster
